Job_title, Company, Job_Type
2D illustrator / Designer,Confidential -,Full Time
Illustrator,Confidential -,Full Time
2D Illustrator - Alexandria,Arabic Localizer -,Full Time
Graphic Designer,B-Solution -,Full TimePart TimeFreelance / Project
Motion Graphic Designer,GROOVY Medical Spa -,Full Time
Junior Graphic Designer,Wham Clinics  -,Full Time
3 D Visualiser Events & Exhibitions (Working from Home),Lemon Tree Events -,Full TimeWork From Home
Senior Motion Graphic Designer / Video Editing,Egyptian Cultural Center -,Full Time
Senior Graphic Designer,Confidential -,Full Time
Senior Graphic Designer,Kandeel Group -,Full Time
2 D Designer (Full-time),Scope IMS -,Full Time
Graphic Designer,Energya Cables -,Full Time
UX Designer,Sarmady -,Full Time
Graphic Designer,J&T Express Egypt -,Full Time
Animator,Confidential -,Full TimeWork From Home
