Job_Ttile, Company_Name, Job_Type
Illustrator / Digital Artist, Confidential -, Full time
Animator Illustrator, RISEUP (Endemag for Administrative Skills Development), Full time
Illustrator, Innovito, Full time
Illustrator, Longman Egypt, Full time
Animator Illustrator, Confidential -, Full time
Graphic Designer, Div Systems, Full time
Senior Graphic Designer, Confidential -, Full time
Senior Graphic Designer - Cairo, Confidential -, Full time
Graphic Designer, Can Creative Solutions, Full time
Graphic Designer, tot`s college, Full time
Graphic Designer, Ebnograph, Full time
Graphic Designer - CS, OPPO Egypt, Full time
Graphic Designer, MAVINZ, Full time
Graphic Designer, Reedy Group, Full time
Graphic Designer, Living Yards Developments, Full time
